2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,,,,,,,,,,,,,
MNF,NYG/MIN,ESPN,8,-11%,13.2M,-9%,262K,4.7,4,,,,,,,,,,,,,,,
Early DH,SEA/NYJ (43%),FOX,6.7,-14%,11.2M,-13%,?,?,4,,,,,,,,,,,,,,,
TNF**,MIA/CIN,NFLN,4.8,-59%,7.9M,-59%,?,3,4,,,,,,,,,,,,,,,
Special,IND/JAX (London),CBS,4.8,-25%,7.7M,-22%,?,?,4,,,,,,,,,,,,,,,
Late DH,PIT/PHI (52%),CBS,12.6,-2%,22.0M,-1%,?,7.1,3,,,,,,,,,,,,,,,
SNF,CHI/DAL,NBC,11.7,-11%,20.6M,-7%,125K,7.6,3,,,,,,,,,,,,,,,
Single,WSH/NYG (31%),FOX,11.1,3%,19.2M,5%,?,?,3,,,,,,,,,,,,,,,
TNF,HOU/NE,"CBS, NFLN",10.6,1%,17.5M,4%,398K,6.1,3,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,8,-13%,13.1M,-13%,?,?,3,,,,,,,,,,,,,,,
MNF**,ATL/NO,ESPN,4.9,-41%,8.0M,-40%,209K,3.1,3,,,,,,,,,,,,,,,
SNF,GB/MIN,NBC,12.7,-16%,22.8M,-14%,202K,8.2,2,,,,,,,,,,,,,,,
Late DH,IND/DEN (74%),CBS,12.2,-21%,21.4M,-21%,?,7,2,,,,,,,,,,,,,,,
Single,DAL/WSH (36%),FOX,11,12%,19.2M,15%,?,?,2,,,,,,,,,,,,,,,
TNF,NYJ/BUF,"CBS, NFLN",9.5,-26%,15.4M,-27%,314K,5.4,2,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,8.5,-8%,14.4M,-6%,?,?,2,,,,,,,,,,,,,,,
MNF,PHI/CHI,ESPN,7.3,-10%,12.1M,-3%,295K,4.5,2,,,,,,,,,,,,,,,
Late DH,NYG/DAL (90%),FOX,15.5,15%,27.5M,18%,?,?,1,,,,,,,,,,,,,,,
Kickoff,CAR/DEN,NBC,14.6,-10%,25.2M,-8%,278K,9.4,1,,,,,,,,,,,,,,,
SNF,NE/AZ,NBC,13.1,-15%,23.1M,-14%,196K,8.4,1,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.3,-20%,16.0M,-20%,?,?,1,,,,,,,,,,,,,,,
Early DH,GB/JAX (34%),FOX,9.2,2%,15.8M,6%,?,?,1,,,,,,,,,,,,,,,
MNF,PIT/WSH,ESPN,7.7,-9%,13.0M,-4%,306K,4.8,1,,,,,,,,,,,,,,,
MNF,LA/SF,ESPN,6.2,-30%,10.3M,-28%,308K,4.2,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Window/Game,Net,Rtg.,+/-,Vwrs.,+/-,,,,,,,,,,,,,,,,,,,
Steelers/Patriots,NBC,16.2,3%,27.4M,1%,1,,,,,,,,,,,,,,,,,,
Giants/Cowboys,NBC,15.4,10%,26.8M,12%,1,,,,,,,,,,,,,,,,,,
Ravens/Broncos (80%),CBS,13.5,-14%,23.3M,-17%,1,,,,,,,,,,,,,,,,,,
Packers/Bears (47%),FOX,11.6,17%,20.1M,22%,1,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,14.9M,6%,1,,,,,,,,,,,,,,,,,,
Vikings/49ers,ESPN,8.8,24%,14.3M,24%,1,,,,,,,,,,,,,,,,,,
Eagles/Falcons,ESPN,8.5,1%,13.6M,-1%,1,,,,,,,,,,,,,,,,,,
Cowboys/Eagles,FOX,15.5,8%,27.2M,9%,2,,,,,,,,,,,,,,,,,,
Seahawks/Packers,NBC,15.1,17%,26.4M,19%,2,,,,,,,,,,,,,,,,,,
Broncos/Chiefs,"CBS, NFLN",12.9,2%,21.1M,2%,2,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,16.7M,-14%,2,,,,,,,,,,,,,,,,,,
Falcons/Giants (32%),FOX,?,?,15.3M,17%,2,,,,,,,,,,,,,,,,,,
