2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,,,,,,,,,,,,,
National,Giants/Seahawks (86%),FOX,13.5,-5%,22.72,-6%,10,14.175,24.0832,,,,,,,,,,,,,,,
SNF,Bears/Packers,NBC,10.6,-14%,18.13,-14%,10,12.084,20.6682,,,,,,,,,,,,,,,
Single,Regional action,CBS,10.6,-13%,17.4,-14%,10,11.978,19.836,,,,,,,,,,,,,,,
Regional,49ers/Saints (63%),FOX,8.2,3%,13.45,6%,10,7.954,12.643,,,,,,,,,,,,,,,
MNF,Panthers/Eagles,ESPN,7.2,1%,11.31,3%,10,7.128,10.9707,,,,,,,,,,,,,,,
TNF,Bills/Dolphins,NFLN,4.8,20%,7.79,21%,11,3.84,6.1541,,,,,,,,,,,,,,,
National,Eagles/Packers (84%),FOX,15.1,-3%,26.5,-2%,11,15.553,27.03,,,,,,,,,,,,,,,
SNF,Patriots/Colts,NBC,12.4,-20%,20.82,-23%,11,14.88,25.6086,,,,,,,,,,,,,,,
Single,Regional action,CBS,10.7,20%,17.94,21%,11,8.56,14.1726,,,,,,,,,,,,,,,
Regional,Seahawks/Chiefs (49%),FOX,8.3,-10%,13.92,-9%,11,9.13,15.1728,,,,,,,,,,,,,,,
MNF,Steelers/Titans,ESPN,8.1,-18%,12.77,-19%,11,9.558,15.1963,,,,,,,,,,,,,,,
TNF,Chiefs/Raiders,NFLN,4.7,0%,7.65,0%,12,4.7,7.65,,,,,,,,,,,,,,,
National,Dolphins/Broncos (83%),CBS,15.5,-5%,26.38,-6%,12,16.275,27.9628,,,,,,,,,,,,,,,
SNF,Cowboys/Giants,NBC,13.1,-16%,22.38,-15%,12,15.196,25.737,,,,,,,,,,,,,,,
Single,Lions/Patriots (48%),FOX,12.2,20%,20.68,23%,12,9.76,15.9236,,,,,,,,,,,,,,,
Regional,Regional action,CBS,8.3,-7%,13.03,-12%,12,8.881,14.5936,,,,,,,,,,,,,,,
MNF,Ravens/Saints,ESPN,6.7,-18%,10.87,-17%,12,7.906,12.7179,,,,,,,,,,,,,,,
Special,Eagles/Cowboys,FOX,14.2,-1%,32.03,1%,13,14.342,31.7097,,,,,,,,,,,,,,,
Special,Bears/Lions,CBS,14.2,6%,29.41,4%,13,13.348,28.2336,,,,,,,,,,,,,,,
Special,Seahawks/49ers,NBC,11.4,4%,22.85,8%,13,10.944,21.022,,,,,,,,,,,,,,,
National,Patriots/Packers (98%),CBS,17.6,5%,30.88,10%,13,16.72,27.792,,,,,,,,,,,,,,,
SNF,Broncos/Chiefs,NBC,12.5,16%,21.11,19%,13,10.5,17.0991,,,,,,,,,,,,,,,
Single,Saints/Steelers (46%),FOX,9.6,-3%,15.68,-5%,13,9.888,16.464,,,,,,,,,,,,,,,
Regional,Regional action,CBS,8.3,-16%,13.59,-14%,13,9.628,15.4926,,,,,,,,,,,,,,,
MNF,Dolphins/Jets,ESPN,7.4,-24%,11.75,-24%,13,9.176,14.57,,,,,,,,,,,,,,,
TNF,Cowboys/Bears,NFLN,5.5,83%,9.11,97%,14,0.935,0.2733,,,,,,,,,,,,,,,
National,Seahawks/Eagles (91%),FOX,15.6,-4%,25.93,-6%,14,16.224,27.4858,,,,,,,,,,,,,,,
SNF,Patriots/Chargers,NBC,12.8,13%,21.15,11%,14,11.136,18.8235,,,,,,,,,,,,,,,
Single,Regional action,CBS,10.6,-12%,17.6,-13%,14,11.872,19.888,,,,,,,,,,,,,,,
Regional,Colts/Browns (45%),FOX,8.6,-14%,13.67,-17%,14,9.804,15.9939,,,,,,,,,,,,,,,
MNF,Falcons/Packers,ESPN,8.5,-17%,13.96,-14%,14,9.945,15.9144,,,,,,,,,,,,,,,
TNF,Cardinals/Rams,NFLN,4.7,-16%,7.67,-14%,15,5.452,8.7438,,,,,,,,,,,,,,,
National,49ers/Seahawks (84%),FOX,15.7,-4%,26.48,-5%,15,16.328,27.804,,,,,,,,,,,,,,,
SNF,Cowboys/Eagles,NBC,14.3,44%,24.25,48%,15,8.008,12.61,,,,,,,,,,,,,,,
Single,Regional action,CBS,11.1,14%,18.68,16%,15,9.546,15.6912,,,,,,,,,,,,,,,
Regional,Bengals/Browns (46%),FOX,9.9,-4%,16.16,-2%,15,10.296,16.4832,,,,,,,,,,,,,,,
MNF,Saints/Bears,ESPN,7.1,-21%,11.07,-22%,15,8.591,13.5054,,,,,,,,,,,,,,,
TNF,Titans/Jaguars,NFLN,3.1,0%,4.85,0%,16,3.1,4.85,,,,,,,,,,,,,,,
Special,Eagles/Washington,NFLN,4.4,0%,7.18,0%,16,4.4,7.18,,,,,,,,,,,,,,,
Special,Chargers/49ers,"CBS, NFLN",8,0%,12.96,0%,16,8,12.96,,,,,,,,,,,,,,,
National,Colts/Cowboys (93%),CBS,15.2,7%,25.89,7%,16,14.136,24.0777,,,,,,,,,,,,,,,
SNF,Seahawks/Cardinals,NBC,11.5,4%,19.29,6%,16,11.04,18.1326,,,,,,,,,,,,,,,
Regional,Regional action,CBS,10,8%,16.4,9%,16,9.2,14.924,,,,,,,,,,,,,,,
Single,Falcons/Saints (38%),FOX,9.8,-25%,16.2,-26%,16,12.25,20.412,,,,,,,,,,,,,,,
MNF,Broncos/Bengals,ESPN,9.7,21%,16.03,21%,16,7.663,12.6637,,,,,,,,,,,,,,,
National,Lions/Packers (87%),FOX,15.6,7%,28.51,8%,17,14.508,26.2292,,,,,,,,,,,,,,,
SNF,Bengals/Steelers,NBC,12,-23%,20.71,-24%,17,14.76,25.6804,,,,,,,,,,,,,,,
Regional,Cowboys/Wash. (69%),FOX,10.5,19%,17.95,20%,17,8.505,14.36,,,,,,,,,,,,,,,
National,Chargers/Chiefs (65%),CBS,9.8,-6%,16.45,-7%,17,10.388,17.6015,,,,,,,,,,,,,,,
Regional,Regional action,CBS,6.3,-26%,10.69,-27%,17,7.938,13.5763,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
